4, , ,6, , , ,6, , ,4, ,4, , ,1, , ,3, 
 , ,9, ,8, ,9,8, , , , , ,2,2, ,6, , ,3
6, , , , ,7,7, , ,2, ,1,2, ,2,4,6,8, ,4
5, , , ,3, , , ,3, , , ,0, , , , , ,7, 
 , ,1, , , , , , ,0, , , , , , ,5,5, ,4
 , , , , ,0, , ,1, , , , , , ,4, ,6, ,4
 ,0, , , ,3, , ,3, ,2, ,2, ,1,3,4, , , 
 , , ,6, , , , ,3,4, , ,5, , , ,6, , , 
0, , ,8, , ,3, ,4, ,6,8,6, , , , ,8, ,3
 , , , ,6,4, ,2,3, , , , ,7,6, ,7,9, , 
 , , , , ,5, , , ,5, ,6,7, , , ,5,7, ,4
 ,7,8, ,8, , , , , ,4, , ,6, , , ,6, , 
 , , ,7, , ,7, , ,5, , , , , ,1, , ,6, 
5, , , , , , , ,3,3, ,6, , ,5, , , , , 
 , ,7, ,7, , , ,5, , , ,7, ,3, ,3, , ,5
 ,5, ,7, , , ,1, ,1, , ,7, , , , , , , 
 ,5, , , ,4,5, , , , , , , ,1, ,2,5, ,3
 ,7,9, ,8, , ,1, , , , ,7, , ,6, , ,5, 
 ,5, ,7, , , , , ,5, , , , ,3, , , , ,3
 , , , ,6,5, , ,4,5,5, , ,3, , , ,3, , 
